"scenario","scenario_label","effect_label","effect","family","scale","channel","replicates","calibrated_detection_rate","mean_score","median_score","score_q025","score_q975","null_threshold_95"
"destination_attraction","Destination-attraction shock","small",0.25,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",200,0.75,0.618415767882076,0.616364056708897,0.51513170710724,0.743729586046032,0.577920598282863
"destination_attraction","Destination-attraction shock","small",0.25,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",200,0.9,0.210281065217772,0.209056768131444,0.15343181785019,0.275971792723651,0.169874751219579
"destination_attraction","Destination-attraction shock","small",0.25,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",200,0.52,0.147236740170141,0.149457257827175,0.0939693959940858,0.203243416965418,0.147092610054326
"destination_attraction","Destination-attraction shock","small",0.25,"conventional indicator","native indicator scale","indicator_binary_transitivity",200,0.28,0.0180720961885191,0.0170504800828967,0.001967664807147,0.0407274624447446,0.0239801659950453
"destination_attraction","Destination-attraction shock","small",0.25,"conventional indicator","native indicator scale","indicator_edge_density",200,0.25,0.0115071202531646,0.0113924050632911,0.00125791139240507,0.0256487341772152,0.0159889240506329
"destination_attraction","Destination-attraction shock","small",0.25,"conventional indicator","native indicator scale","indicator_effective_destinations",200,0.85,0.0353601519566465,0.0332612892571498,0.00960083777551104,0.062401159232575,0.0212173104812073
"destination_attraction","Destination-attraction shock","small",0.25,"conventional indicator","native indicator scale","indicator_in_strength_gini",200,0.765,0.0477642833621773,0.0451159112332699,0.0118684601780347,0.0831743815199077,0.0340800096386451
"destination_attraction","Destination-attraction shock","small",0.25,"conventional indicator","native indicator scale","indicator_out_strength_gini",200,0.1,0.0165574845887158,0.0154431811017045,0.00056037461118309,0.0445619802099161,0.0326812569457221
"destination_attraction","Destination-attraction shock","small",0.25,"conventional indicator","native indicator scale","indicator_top10_destination_share",200,0.695,0.0286924687242606,0.0276841827169649,0.00411954547752207,0.0570617514872012,0.0218795240206667
"destination_attraction","Destination-attraction shock","small",0.25,"conventional indicator","native indicator scale","indicator_total_weight",200,0.975,0.131922385799739,0.134433822958534,0.0717579779860974,0.198600591421145,0.0710006686478987
"destination_attraction","Destination-attraction shock","small",0.25,"conventional indicator","native indicator scale","indicator_weighted_reciprocity",200,0.115,0.0203887599788338,0.0186027207982201,0.00108534103691832,0.0520853758343547,0.0380365767076742
"destination_attraction","Destination-attraction shock","small",0.25,"adjacency benchmark","raw weighted scale","singular_spectrum_raw",200,0.99,9.27636899598307,9.23159210000022,5.22683766003669,14.2267271515134,4.09260438547839
"destination_attraction","Destination-attraction shock","small",0.25,"adjacency benchmark","unit-mean shape","singular_spectrum_shape",200,0.545,3.06029590493171,2.94288130161112,1.609328759473,5.15791508206769,2.86333377600237
"directional_shift","Directional asymmetry shift","large",1,"structural roles","label-invariant partition","estimated_role_instability",200,0.02,0.912022015488865,0.918408531060114,0.807459590987423,0.982251628223618,0.991691287431846
"directional_shift","Directional asymmetry shift","large",1,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",200,1,0.413317881057944,0.409705482098256,0.337205164538987,0.492826155870613,0.217562537442136
"directional_shift","Directional asymmetry shift","large",1,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",200,0.97,0.208345737178903,0.207678743484755,0.174012195270573,0.245580556687409,0.175316396283842
"directional_shift","Directional asymmetry shift","large",1,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",200,1,1.04908355421772,1.0434330356492,0.843305342358432,1.31405596856963,0.660067728143905
"directional_shift","Directional asymmetry shift","large",1,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",200,1,0.736753575651685,0.730109107025956,0.6168995481242,0.883356058586672,0.577920598282863
"directional_shift","Directional asymmetry shift","large",1,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",200,1,0.36952616310699,0.369663422392624,0.273389789741295,0.469189010650171,0.169874751219579
"directional_shift","Directional asymmetry shift","large",1,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",200,0.99,0.237219062640378,0.234285041713021,0.159674309452898,0.323916989824527,0.147092610054326
"directional_shift","Directional asymmetry shift","large",1,"conventional indicator","native indicator scale","indicator_binary_transitivity",200,0.72,0.0320802707014496,0.0323530385299219,0.00881192148574528,0.0544933410531848,0.0239801659950453
"directional_shift","Directional asymmetry shift","large",1,"conventional indicator","native indicator scale","indicator_edge_density",200,0.405,0.0141962025316456,0.0139240506329114,0.00110759493670887,0.0296044303797468,0.0159889240506329
"directional_shift","Directional asymmetry shift","large",1,"conventional indicator","native indicator scale","indicator_effective_destinations",200,0.99,0.056593337195911,0.056257449555245,0.02983690928508,0.0883008857421579,0.0212173104812073
"directional_shift","Directional asymmetry shift","large",1,"conventional indicator","native indicator scale","indicator_in_strength_gini",200,0.985,0.0750217292079713,0.074922868340446,0.0411824750803342,0.108353134975205,0.0340800096386451
"directional_shift","Directional asymmetry shift","large",1,"conventional indicator","native indicator scale","indicator_out_strength_gini",200,0.955,0.0663233831754665,0.066200058985964,0.0253709054111771,0.10930851718559,0.0326812569457221
"directional_shift","Directional asymmetry shift","large",1,"conventional indicator","native indicator scale","indicator_top10_destination_share",200,0.895,0.0374466604479035,0.0367414026064463,0.0124844062122025,0.0638227102807064,0.0218795240206667
"directional_shift","Directional asymmetry shift","large",1,"conventional indicator","native indicator scale","indicator_total_weight",200,1,0.226462745542704,0.227736543406706,0.158967297067671,0.298093314003514,0.0710006686478987
"directional_shift","Directional asymmetry shift","large",1,"conventional indicator","native indicator scale","indicator_weighted_reciprocity",200,0.84,0.0533034211307307,0.0537842882870044,0.0220129458272745,0.0831818597579417,0.0380365767076742
"directional_shift","Directional asymmetry shift","large",1,"adjacency benchmark","raw weighted scale","singular_spectrum_raw",200,1,18.9165240521296,18.5923524957925,13.5629449867499,26.1235879000583,4.09260438547839
"directional_shift","Directional asymmetry shift","large",1,"adjacency benchmark","unit-mean shape","singular_spectrum_shape",200,0.97,5.12523574907642,5.18739235704528,2.82103770722774,7.6720157176206,2.86333377600237
"directional_shift","Directional asymmetry shift","medium",0.5,"structural roles","label-invariant partition","estimated_role_instability",200,0.05,0.92767776934896,0.929870766390378,0.843101700266575,0.999202921125362,0.991691287431846
"directional_shift","Directional asymmetry shift","medium",0.5,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",200,0.86,0.245966756284738,0.246503753919177,0.199280598873475,0.289423611630258,0.217562537442136
"directional_shift","Directional asymmetry shift","medium",0.5,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",200,0.2,0.165670586137045,0.166206295701218,0.141679521302563,0.192034315999824,0.175316396283842
"directional_shift","Directional asymmetry shift","medium",0.5,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",200,0.575,0.671553822868306,0.667277803523783,0.573664302323867,0.801103252471049,0.660067728143905
"directional_shift","Directional asymmetry shift","medium",0.5,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",200,0.295,0.555689996388246,0.551132649870263,0.478643554036171,0.642032072300076,0.577920598282863
"directional_shift","Directional asymmetry shift","medium",0.5,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",200,0.465,0.168662759958452,0.166431562134738,0.114997676490319,0.231361972235092,0.169874751219579
"directional_shift","Directional asymmetry shift","medium",0.5,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",200,0.17,0.122158067067915,0.119310709012392,0.0774415678193294,0.178228076717013,0.147092610054326
"directional_shift","Directional asymmetry shift","medium",0.5,"conventional indicator","native indicator scale","indicator_binary_transitivity",200,0.215,0.0154256515893517,0.0131171244438732,0.000948381260680402,0.0412874657272976,0.0239801659950453
"directional_shift","Directional asymmetry shift","medium",0.5,"conventional indicator","native indicator scale","indicator_edge_density",200,0.125,0.00859177215189874,0.00775316455696207,0.0004746835443038,0.0215308544303798,0.0159889240506329
"directional_shift","Directional asymmetry shift","medium",0.5,"conventional indicator","native indicator scale","indicator_effective_destinations",200,0.445,0.0199705201070631,0.019672398992554,0.00143270715285537,0.0442321559687054,0.0212173104812073
"directional_shift","Directional asymmetry shift","medium",0.5,"conventional indicator","native indicator scale","indicator_in_strength_gini",200,0.39,0.0294195592961592,0.02878355402622,0.00158368170977583,0.0619898468732898,0.0340800096386451
"directional_shift","Directional asymmetry shift","medium",0.5,"conventional indicator","native indicator scale","indicator_out_strength_gini",200,0.175,0.0200605164411285,0.0179843244745247,0.00100299928622494,0.046538692895275,0.0326812569457221
"directional_shift","Directional asymmetry shift","medium",0.5,"conventional indicator","native indicator scale","indicator_top10_destination_share",200,0.295,0.0159744160441082,0.0150800872724548,0.000302316475783006,0.0409627851185391,0.0218795240206667
"directional_shift","Directional asymmetry shift","medium",0.5,"conventional indicator","native indicator scale","indicator_total_weight",200,0.715,0.0889578548106295,0.0894161709853885,0.0298166524814147,0.148126914243176,0.0710006686478987
"directional_shift","Directional asymmetry shift","medium",0.5,"conventional indicator","native indicator scale","indicator_weighted_reciprocity",200,0.11,0.0192280547551349,0.0169573954127636,0.000678695865650713,0.0487290237746881,0.0380365767076742
"directional_shift","Directional asymmetry shift","medium",0.5,"adjacency benchmark","raw weighted scale","singular_spectrum_raw",200,0.88,6.09292177815452,6.08057002898524,2.98990942221591,9.54915694652351,4.09260438547839
"directional_shift","Directional asymmetry shift","medium",0.5,"adjacency benchmark","unit-mean shape","singular_spectrum_shape",200,0.145,2.233923593912,2.2103836294496,1.18586832245635,3.70967815410914,2.86333377600237
"directional_shift","Directional asymmetry shift","small",0.25,"structural roles","label-invariant partition","estimated_role_instability",200,0.045,0.934434170910284,0.937460691774104,0.860486102871227,0.997925786860765,0.991691287431846
"directional_shift","Directional asymmetry shift","small",0.25,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",200,0.205,0.200965202414258,0.200556320252945,0.161490396130932,0.246653327360133,0.217562537442136
"directional_shift","Directional asymmetry shift","small",0.25,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",200,0.08,0.158567865140963,0.158994113597987,0.137457005894545,0.180153420385613,0.175316396283842
"directional_shift","Directional asymmetry shift","small",0.25,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",200,0.1,0.596976805744974,0.593521906414039,0.50709218461521,0.703668621875639,0.660067728143905
"directional_shift","Directional asymmetry shift","small",0.25,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",200,0.08,0.517567289867333,0.515372893631399,0.446509568004793,0.602803677845028,0.577920598282863
