"year","K","nodeID","nodeLabel","nodeLat","nodeLong","raw_block","destination_role_rank","origin_role_rank","raw_in_strength","raw_out_strength","fitted_in_mean","fitted_out_mean","fitted_in_rank01","destination_core_rank","is_destination_core","is_regional_destination_core"
"2015",2,"164","Torokszentmiklosi",47.180736,20.4182932,1,2,2,0,944,5.60371100164184,9.20804597701122,0.497126436781609,87,FALSE,FALSE
"2015",2,"165","Vaci",47.7754454,19.1377076,1,2,2,1411,2681,5.60371100164184,9.20804597701122,0.497126436781609,17,TRUE,TRUE
"2015",2,"166","Varpalotai",47.1973949,18.1396572,1,2,2,0,933,5.60371100164184,9.20804597701122,0.497126436781609,88,FALSE,FALSE
"2015",2,"167","Vasarosnamenyi",48.126772,22.318366,1,2,2,0,934,5.60371100164184,9.20804597701122,0.497126436781609,89,FALSE,FALSE
"2015",2,"168","Vasvari",47.051087,16.7985158,1,2,2,0,351,5.60371100164184,9.20804597701122,0.497126436781609,90,FALSE,FALSE
"2015",2,"169","Veresegyhazi",47.65714,19.284962,1,2,2,0,1628,5.60371100164184,9.20804597701122,0.497126436781609,91,FALSE,FALSE
"2015",2,"170","Veszpremi",47.092967,17.913785,1,2,2,9151,3586,5.60371100164184,9.20804597701122,0.497126436781609,9,TRUE,TRUE
"2015",2,"171","Zahonyi",48.406999,22.1745391,1,2,2,0,701,5.60371100164184,9.20804597701122,0.497126436781609,93,FALSE,FALSE
"2015",2,"172","Zalaegerszegi",46.845412,16.8472302,1,2,2,0,3438,5.60371100164184,9.20804597701122,0.497126436781609,94,FALSE,FALSE
"2015",2,"173","Zalakarosi",46.5605989,17.1230251,1,2,2,0,260,5.60371100164184,9.20804597701122,0.497126436781609,95,FALSE,FALSE
"2015",2,"174","Zalaszentgroti",46.947143,17.0790458,1,2,2,0,370,5.60371100164184,9.20804597701122,0.497126436781609,96,FALSE,FALSE
"2015",2,"175","Zirci",47.2630578,17.8725401,1,2,2,0,575,5.60371100164184,9.20804597701122,0.497126436781609,97,FALSE,FALSE
"2015",4,"1","Abai",47.028736,18.517633,2,3,3,0,580,0,9.59973421926911,0.445402298850575,26,FALSE,FALSE
"2015",4,"2","Abauj-Hegykozi",48.471017,21.2741752,2,3,3,0,391,0,9.59973421926911,0.445402298850575,100,FALSE,FALSE
"2015",4,"3","Adonyi",47.119574,18.8652611,2,3,3,0,627,0,9.59973421926911,0.445402298850575,109,FALSE,FALSE
"2015",4,"4","Ajkai",47.1068802,17.563957,3,3,4,0,981,0,3.51583673469388,0.445402298850575,118,FALSE,FALSE
"2015",4,"5","Aszodi",47.6523763,19.4759463,2,3,3,0,1342,0,9.59973421926911,0.445402298850575,127,FALSE,FALSE
"2015",4,"6","Bacsalmasi",46.123955,19.32633,3,3,4,0,397,0,3.51583673469388,0.445402298850575,136,FALSE,FALSE
