"metric","metric_role","fixed_K","year_pair","distance"
"total_variation","exploratory",5,"2012-2013",0.0793683914247197
"total_variation","exploratory",5,"2013-2014",0.0826168776935432
"total_variation","exploratory",5,"2014-2015",0.0725510933121562
"total_variation","exploratory",5,"2015-2016",0.0963060151354837
"total_variation","exploratory",5,"2016-2017",0.111969590252433
"total_variation","exploratory",5,"2017-2018",0.269180217353549
"total_variation","exploratory",5,"2018-2019",0.217419509173089
"total_variation","exploratory",5,"2019-2020",0.136507414000202
"total_variation","exploratory",5,"2020-2021",0.253826445680742
"total_variation","exploratory",5,"2021-2022",0.206635033089812
"total_variation","exploratory",5,"2022-2023",0.115477043009648
"total_variation","exploratory",5,"2023-2024",0.0518192637307388
"frobenius","primary",6,"2006-2007",55.3815621795661
"frobenius","primary",6,"2007-2008",45.8068770286801
"frobenius","primary",6,"2008-2009",34.4128079063133
"frobenius","primary",6,"2009-2010",66.4326367030856
"frobenius","primary",6,"2010-2011",28.6535901567364
"frobenius","primary",6,"2011-2012",96.4592905299642
"frobenius","primary",6,"2012-2013",66.0874574881191
"frobenius","primary",6,"2013-2014",53.7191605519365
"frobenius","primary",6,"2014-2015",29.1250340274466
"frobenius","primary",6,"2015-2016",38.0273675238116
"frobenius","primary",6,"2016-2017",52.6502588678826
"frobenius","primary",6,"2017-2018",105.7393052544
"frobenius","primary",6,"2018-2019",75.4940663369866
"frobenius","primary",6,"2019-2020",47.3408140629337
"frobenius","primary",6,"2020-2021",74.6257964444346
"frobenius","primary",6,"2021-2022",42.6540980861058
"frobenius","primary",6,"2022-2023",94.5534910888799
"frobenius","primary",6,"2023-2024",56.4081861074092
"cut","primary",6,"2006-2007",3.3083317461276
"cut","primary",6,"2007-2008",2.71936473786969
"cut","primary",6,"2008-2009",2.13965017687061
"cut","primary",6,"2009-2010",3.03953914006562
"cut","primary",6,"2010-2011",1.24864413178814
"cut","primary",6,"2011-2012",3.1981755899129
"cut","primary",6,"2012-2013",2.53633675764158
"cut","primary",6,"2013-2014",3.05074185953453
"cut","primary",6,"2014-2015",1.02234749235548
