"year","nodeID","nodeLabel","nodeLat","nodeLong","block","block_size","destination_role_rank","origin_role_rank","raw_in_strength","raw_out_strength","fitted_in_mean","fitted_out_mean","fitted_in_rank01","fitted_out_rank01","destination_core_rank","is_destination_core","is_regional_destination_core"
2006,"164","Torokszentmiklosi",47.180736,20.4182932,12,20,6,8,0,1399,0,7.51057142857143,0.436781609195402,0.652298850574713,87,FALSE,FALSE
2006,"165","Vaci",47.7754454,19.1377076,3,6,5,5,1735,2863,9.5847619047619,22.6028571428571,0.89367816091954,0.89367816091954,17,TRUE,TRUE
2006,"166","Varpalotai",47.1973949,18.1396572,10,37,6,9,0,1062,0,7.07258687258687,0.436781609195402,0.488505747126437,88,FALSE,FALSE
2006,"167","Vasarosnamenyi",48.126772,22.318366,5,17,6,10,0,1389,0,5.76840336134454,0.436781609195402,0.333333333333333,89,FALSE,FALSE
2006,"168","Vasvari",47.051087,16.7985158,7,11,6,12,0,253,0,2.43896103896104,0.436781609195402,0.0689655172413793,90,FALSE,FALSE
2006,"169","Veresegyhazi",47.65714,19.284962,13,21,6,6,0,1129,0,17.1447619047619,0.436781609195402,0.816091954022989,91,FALSE,FALSE
2006,"170","Veszpremi",47.092967,17.913785,8,9,4,4,11837,3962,48.6400000000001,22.7847619047619,0.936781609195402,0.936781609195402,9,TRUE,TRUE
2006,"171","Zahonyi",48.406999,22.1745391,4,7,6,13,0,0,0,0,0.436781609195402,0.0172413793103448,93,FALSE,FALSE
2006,"172","Zalaegerszegi",46.845412,16.8472302,9,8,6,7,0,4180,0,15.7464285714286,0.436781609195402,0.732758620689655,94,FALSE,FALSE
2006,"173","Zalakarosi",46.5605989,17.1230251,4,7,6,13,0,0,0,0,0.436781609195402,0.0172413793103448,95,FALSE,FALSE
2006,"174","Zalaszentgroti",46.947143,17.0790458,7,11,6,12,0,401,0,2.43896103896104,0.436781609195402,0.0689655172413793,96,FALSE,FALSE
2006,"175","Zirci",47.2630578,17.8725401,2,32,6,11,0,649,0,4.14071428571428,0.436781609195402,0.192528735632184,97,FALSE,FALSE
