"from_year","to_year","transition","analysis_dimension","estimator","fixed_K","family","scale","channel","score","evidence_percentile","robust_z"
2008,2009,"2008-2009","resolution","block",8,"structural roles","label-invariant partition","estimated_role_instability",0.746281821692592,0.529411764705882,0.116775926490532
2008,2009,"2008-2009","resolution","block",13,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",47.4415183593281,0.411764705882353,-0.290279481123089
2008,2009,"2008-2009","resolution","block",13,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",2.67222614826844,0.647058823529412,0.766958927595439
2008,2009,"2008-2009","resolution","block",13,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",2.47813910853726,0.705882352941177,0.864082229811951
2008,2009,"2008-2009","resolution","block",13,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",3.1854243018615,0.294117647058824,-0.719618115574756
2008,2009,"2008-2009","resolution","block",13,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",0.116961331231532,0.352941176470588,-0.882180967071545
2008,2009,"2008-2009","resolution","block",13,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",0.13434004845319,0.352941176470588,-0.532218757798663
2008,2009,"2008-2009","resolution","block",13,"structural roles","label-invariant partition","estimated_role_instability",0.833251814143141,0.529411764705882,0.0553585229885757
2009,2010,"2009-2010","conventional",,,"conventional indicator","native indicator scale","indicator_total_weight",0.123865605603191,0.764705882352941,1.43111054219493
2009,2010,"2009-2010","conventional",,,"conventional indicator","native indicator scale","indicator_edge_density",0.000131362889983569,0.117647058823529,-1.00444444444445
2009,2010,"2009-2010","conventional",,,"conventional indicator","native indicator scale","indicator_weighted_reciprocity",0.0096098158721617,0.588235294117647,0.192719446001043
2009,2010,"2009-2010","conventional",,,"conventional indicator","native indicator scale","indicator_in_strength_gini",0.000646091308301067,0.294117647058824,-0.534461186513814
2009,2010,"2009-2010","conventional",,,"conventional indicator","native indicator scale","indicator_out_strength_gini",0.0033576879981585,0.294117647058824,-0.945177089542676
2009,2010,"2009-2010","conventional",,,"conventional indicator","native indicator scale","indicator_effective_destinations",0.00601135080958448,0.176470588235294,-1.06310879915264
